CLAVE,SITIO,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,CUENCA,CUERPO DE AGUA,TIPO,SUBTIPO,LONGITUD,LATITUD,PERIODO,DBO_mg/L,CALIDAD_DBO,DQO_mg/L,CALIDAD_DQO,SST_mg/L,CALIDAD_SST,COLI_FEC_NMP_100mL,CALIDAD_COLI_FEC,E_COLI_NMP_100mL,CALIDAD_E_COLI,ENTEROC_NMP_100mL,CALIDAD_ENTEROC,OD_PORC,CALIDAD_OD_PORC,OD_PORC_SUP,CALIDAD_OD_PORC_SUP,OD_PORC_MED,CALIDAD_OD_PORC_MED,OD_PORC_FON,CALIDAD_OD_PORC_FON,TOX_D_48_UT,CALIDAD_TOX_D_48,TOX_V_15_UT,CALIDAD_TOX_V_15,TOX_D_48_SUP_UT,CALIDAD TOX_D_48_SUP,TOX_D_48_FON_UT,CALIDAD_TOX_D_48_FON,TOX_FIS_SUP_15_UT,CALIDAD_TOX_FIS_SUP_15,TOX_FIS_FON_15_UT,CALIDAD_TOX_FIS_FON_15,SEMAFORO,CONTAMINANTES,CUMPLE_CON_DBO,CUMPLE_CON_DQO,CUMPLE_CON_SST,CUMPLE_CON_CF,CUMPLE_CON_E_COLI,CUMPLE_CON_ENTEROC,CUMPLE_CON_OD,CUMPLE_CON_TOX,GRUPO
OCFSU2930,PRESA LA ANGOSTURA 5,FRONTERA SUR,CHIAPAS,VENUSTIANO CARRANZA,PRESA LA ANGOSTURA,PRESA DR. BELISARIO DOMINGUEZ (LA ANGOSTURA),LENTICO (HUMEDAL),PRESA,-92.59608,16.15315,2020,<2,Excelente,40.17,Contaminada,52,Buena calidad,<3,Excelente,<3,Excelente,,,,,84.1,Excelente,65.5,Buena calidad,52.2,Buena calidad,,,,,<1,No Toxico,,,<1,No Toxico,,,Rojo,"DQO,",SI,NO,SI,SI,SI,ND,SI,SI,LENTICO
OCFSU2931,RIO SAN VICENTE 5,FRONTERA SUR,CHIAPAS,VENUSTIANO CARRANZA,AGUACATENCO,RIO SAN VICENTE,LOTICO,RIO,-92.50140,16.22530,2020,2.82,Excelente,336.32,Fuertemente contaminada,40,Buena calidad,2400,Contaminada,2400,Fuertemente contaminada,,,81.5,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,CF,E_COLI,",SI,NO,SI,NO,NO,ND,SI,SI,LOTICO
OCFSU2933,"CIA. AZUCARERA LA FE, S.A. DE C.V. (AGUAS ARRIBA)",FRONTERA SUR,CHIAPAS,VENUSTIANO CARRANZA,AGUACATENCO,AFLUENTE AL QUE DESCARGA RIO BLANCO; CUERPO RECEPTOR AL QUE DESCARGA CANAL PRINCIPAL IZQUIERDO,LOTICO,CANAL,-92.45840,16.27981,2020,<2,Excelente,39.2,Aceptable,56,Buena calidad,4600,Contaminada,4600,Fuertemente contaminada,,,68.7,Buena calidad,,,,,,,1.55,Toxicidad moderada,<1,No Toxico,,,,,,,,,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LOTICO
OCFSU2934,"CIA. AZUCARERA LA FE, S.A. DE C.V. (AGUAS ABAJO)",FRONTERA SUR,CHIAPAS,VENUSTIANO CARRANZA,AGUACATENCO,AFLUENTE AL QUE DESCARGA RIO BLANCO; CUERPO RECEPTOR AL QUE DESCARGA CANAL PRINCIPAL IZQUIERDO,LOTICO,CANAL,-92.44873,16.26851,2020,3.66,Buena calidad,30.49,Aceptable,48,Buena calidad,4600,Contaminada,2400,Fuertemente contaminada,,,89.1,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LOTICO
OCFSU2935,RIO BLANCO 10,FRONTERA SUR,CHIAPAS,VENUSTIANO CARRANZA,AGUACATENCO,RIO BLANCO,LOTICO,RIO,-92.49830,16.36115,2020,12,Aceptable,29.04,Aceptable,24,Excelente,11000,Fuertemente contaminada,11000,Fuertemente contaminada,,,100.4,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LOTICO
OCFSU2936,RIO BLANCO 9,FRONTERA SUR,CHIAPAS,VENUSTIANO CARRANZA,AGUACATENCO,RIO BLANCO,LOTICO,RIO,-92.48743,16.30889,2020,4.4,Buena calidad,34.85,Aceptable,32,Buena calidad,2400,Contaminada,2400,Fuertemente contaminada,,,73.6,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LOTICO
OCFSU2937,RIO BLANCO 7,FRONTERA SUR,CHIAPAS,VENUSTIANO CARRANZA,AGUACATENCO,RIO BLANCO,LOTICO,RIO,-92.50243,16.38953,2020,11.1,Aceptable,36.3,Aceptable,52,Buena calidad,24000,Fuertemente contaminada,11000,Fuertemente contaminada,,,99.4,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LOTICO
OCFSU2940,RIO SAN VICENTE 3,FRONTERA SUR,CHIAPAS,TZIMOL,AGUACATENCO,RIO SAN VICENTE,LOTICO,RIO,-92.29367,16.18342,2020,9.2,Aceptable,27.59,Aceptable,44,Buena calidad,4600,Contaminada,2400,Fuertemente contaminada,,,58.6,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LOTICO
OCFSU2941,RIO SAN VICENTE 2,FRONTERA SUR,CHIAPAS,TZIMOL,AGUACATENCO,RIO SAN VICENTE,LOTICO,RIO,-92.20831,16.19785,2020,10.2,Aceptable,51.3,Contaminada,24,Excelente,750,Aceptable,230,Buena calidad,,,61.1,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,",SI,NO,SI,SI,SI,ND,SI,SI,LOTICO
OCFSU2942,RIO SAN VICENTE 1,FRONTERA SUR,CHIAPAS,COMITAN DE DOMINGUEZ,AGUACATENCO,RIO SAN VICENTE,LOTICO,ARROYO,-92.19000,16.20040,2020,8,Aceptable,47.43,Contaminada,32,Buena calidad,1500,Contaminada,750,Aceptable,,,49.2,Aceptable,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,CF,",SI,NO,SI,NO,SI,ND,SI,SI,LOTICO
OCFSU2943,RIO SAN VICENTE 0,FRONTERA SUR,CHIAPAS,COMITAN DE DOMINGUEZ,AGUACATENCO,RIO SAN VICENTE,LOTICO,RIO,-92.19530,16.19520,2020,7.8,Aceptable,39.69,Aceptable,40,Buena calidad,1500,Contaminada,1500,Fuertemente contaminada,,,66.1,Buena calidad,,,,,,,1.235,Toxicidad baja,<1,No Toxico,,,,,,,,,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LOTICO
OCFSU2948,RIO GRANDE,FRONTERA SUR,CHIAPAS,LA TRINITARIA,COMITAN,RIO GRANDE,LOTICO,RIO,-91.82552,16.15124,2020,14.34,Aceptable,41.76,Contaminada,64,Buena calidad,<3,Excelente,<3,Excelente,,,54.7,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,",SI,NO,SI,SI,SI,ND,SI,SI,LOTICO
OCFSU2949,PARQUE NACIONAL LAGUNAS DE MONTEBELLO 8,FRONTERA SUR,CHIAPAS,LA TRINITARIA,COMITAN,LAGUNAS DE MONTEBELLO,LENTICO (HUMEDAL),LAGO,-91.77390,16.15010,2020,6.17,Aceptable,49.92,Contaminada,32,Buena calidad,<3,Excelente,<3,Excelente,,,,,104.3,Excelente,89.5,Excelente,70.1,Excelente,,,,,<1,No Toxico,,,<1,No Toxico,,,Rojo,"DQO,",SI,NO,SI,SI,SI,ND,SI,SI,LENTICO
OCFSU2951,PARQUE NACIONAL LAGUNAS DE MONTEBELLO 6,FRONTERA SUR,CHIAPAS,LA TRINITARIA,COMITAN,LAGUNAS DE MONTEBELLO,LENTICO (HUMEDAL),LAGO,-91.75844,16.12924,2020,11.76,Aceptable,41.28,Contaminada,40,Buena calidad,<3,Excelente,<3,Excelente,,,,,103.3,Excelente,88.4,Excelente,68.6,Buena calidad,,,,,<1,No Toxico,,,<1,No Toxico,,,Rojo,"DQO,",SI,NO,SI,SI,SI,ND,SI,SI,LENTICO
OCFSU2952,PARQUE NACIONAL LAGUNAS DE MONTEBELLO 7,FRONTERA SUR,CHIAPAS,LA TRINITARIA,COMITAN,LAGUNAS DE MONTEBELLO,LENTICO (HUMEDAL),LAGO,-91.73166,16.12743,2020,,,,,32,Buena calidad,<3,Excelente,<3,Excelente,,,,,89.9,Excelente,67.4,Buena calidad,48.4,Aceptable,,,,,<1,No Toxico,,,<1,No Toxico,,,Verde,,ND,ND,SI,SI,SI,ND,SI,SI,LENTICO
OCFSU2953,PARQUE NACIONAL LAGUNAS DE MONTEBELLO 5,FRONTERA SUR,CHIAPAS,LA TRINITARIA,COMITAN,LAGUNAS DE MONTEBELLO,LENTICO (HUMEDAL),LAGO,-91.72913,16.12011,2020,11.18,Aceptable,36.48,Aceptable,36,Buena calidad,<3,Excelente,<3,Excelente,,,,,91.4,Excelente,67.6,Buena calidad,48.6,Aceptable,,,,,<1,No Toxico,,,<1,No Toxico,,,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
OCFSU2954,PARQUE NACIONAL LAGUNAS DE MONTEBELLO 3,FRONTERA SUR,CHIAPAS,LA TRINITARIA,COMITAN,LAGUNAS DE MONTEBELLO,LENTICO (HUMEDAL),LAGO,-91.70590,16.10671,2020,6.84,Aceptable,45.04,Contaminada,24,Excelente,<3,Excelente,<3,Excelente,,,,,76.2,Excelente,71.1,Excelente,68.1,Buena calidad,,,,,<1,No Toxico,,,<1,No Toxico,,,Rojo,"DQO,",SI,NO,SI,SI,SI,ND,SI,SI,LENTICO
OCFSU2955,PARQUE NACIONAL LAGUNAS DE MONTEBELLO 4,FRONTERA SUR,CHIAPAS,LA TRINITARIA,LACANTUN,LAGUNAS DE MONTEBELLO,LENTICO (HUMEDAL),LAGO,-91.66891,16.10183,2020,8.82,Aceptable,37.92,Aceptable,28,Buena calidad,<3,Excelente,<3,Excelente,,,,,78.4,Excelente,71.9,Excelente,64.2,Buena calidad,,,,,<1,No Toxico,,,<1,No Toxico,,,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
